band,n_points,jd_min,jd_max
V,180309,2441832.66,2461105.716047
B,167705,2453075.8075,2461105.59375
Vis,142779,2402744.254,2461105.6875
TG,91089,2444557.961875,2461105.7069
TB,41930,2455240.31736,2461105.704135
TR,37200,2455240.31736,2461105.708743
R,31279,2453822.685,2461104.87195
CV,23400,2445426.51,2461096.501389
I,20912,2453075.8408,2461104.86338
HA,4117,2460309.698872,2460692.00058228
SU,3018,2460449.07404,2461104.86422
U,1549,2459497.31736,2461101.058808
SG,1371,2459732.55468,2460989.56098
SR,818,2459732.55317,2460918.30819
CR,376,2455585.671,2460740.457184
SI,255,2459732.55117,2460918.31074
SZ,173,2460727.88528,2460904.369646
STHBN,71,2460378.854676,2460388.929745
Red-Vis,23,2460932.334722,2461049.614583
Green-Vis,17,2437100.6326,2454304.5548
Yellow-Vis,4,2437100.6313,2437101.6854
Blue-Vis,2,2437100.6347,2437101.6847
H,1,2460223.577,2460223.577
J,1,2460223.577,2460223.577
